P,e-puck(5),0.490647,0.606996,0.000000,0.000000
R,e-puck(5),19.526645,0.000000,0.000000,0.000000
F,e-puck(5),0.609179,0.609179,0.490647,0.606996
U,e-puck(5),0.490647,0.606996,0.490647,0.606996
Z,e-puck(5),0.000000,-0.340804,0.000000,0.000000
V,e-puck(5),0.000000,0.000000,0.000000,0.000000
P,e-puck(5),0.490635,0.607013,0.000000,0.000000
R,e-puck(5),19.526612,0.000000,0.000000,0.000000
F,e-puck(5),0.609179,0.067670,0.141206,0.218473
U,e-puck(5),-2.812590,-3.066006,0.490635,0.607013
Z,e-puck(5),4.939875,-2.644040,0.000000,0.000000
V,e-puck(5),-2.017425,-1.622808,-0.666667,-0.666667
P,e-puck(5),0.490259,0.606894,0.000000,0.000000
R,e-puck(5),19.526575,0.000000,0.000000,0.000000
F,e-puck(5),0.608674,0.067670,0.141206,0.218473
U,e-puck(5),-3.878482,-4.252559,0.490259,0.606894
Z,e-puck(5),6.534538,-2.643872,0.000000,0.000000
V,e-puck(5),-2.017369,-1.884808,-1.111111,-1.111111
P,e-puck(5),0.489605,0.606670,0.000000,0.000000
R,e-puck(5),19.526516,0.000000,0.000000,0.000000
F,e-puck(5),0.607762,0.067670,0.141206,0.218473
U,e-puck(5),-6.347612,-7.005488,0.489605,0.606670
Z,e-puck(5),10.231935,-2.643416,0.000000,0.000000
V,e-puck(5),-2.017083,-2.148921,-2.000000,-2.000000
P,e-puck(5),0.488410,0.606252,0.000000,0.000000
R,e-puck(5),19.526426,0.000000,0.000000,0.000000
F,e-puck(5),0.606086,0.067670,0.141206,0.218473
U,e-puck(5),-7.531736,-8.333577,0.488410,0.606252
Z,e-puck(5),12.010132,-2.642821,0.000000,0.000000
V,e-puck(5),-2.016704,-2.412905,-2.000000,-2.000000
P,e-puck(5),0.487208,0.605829,0.000000,0.000000
R,e-puck(5),19.526353,0.000000,0.000000,0.000000
F,e-puck(5),0.604400,0.067669,0.141156,0.218504
U,e-puck(5),-8.840642,-9.807633,0.487208,0.605829
Z,e-puck(5),13.980306,-2.642057,0.000000,0.000000
V,e-puck(5),-2.016217,-2.676729,-2.000000,-2.000000
P,e-puck(5),0.486000,0.605403,0.000000,0.000000
R,e-puck(5),19.526297,0.000000,0.000000,0.000000
F,e-puck(5),0.602709,0.067665,0.141142,0.218503
U,e-puck(5),-8.391936,-9.317228,0.486000,0.605403
Z,e-puck(5),13.314517,-2.641482,0.000000,0.000000
V,e-puck(5),-2.015850,-2.940590,-2.000000,-2.000000
